PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27.0,34.0,12
TJ Leaf,PF,11.55,3.27,3.27,29.0,34.5,6
Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,1
Frank Mason III,PG,11.41,3.09,3.18,34.0,41.0,15
Kennedy Meeks,C,12.91,3.35,3.50,28.0,30.5,15
Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,10
Monte Morris,PG,11.00,3.20,3.19,28.0,33.5,8
Johnathan Motley,PF,-,-,-,-,-,-
Svi Mykhailiuk,SG-SF,12.40,3.25,3.53,27.0,33.0,8
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35.0,40.5,19
Cameron Oliver,PF,12.17,3.31,3.16,28.0,39.5,5
Justin Patton,C,11.80,3.31,3.46,26.0,30.5,-
Alec Peters,PF,-,-,-,-,-,-
Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,3
Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36.0,12
Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,10
Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,3
Edmond Sumner,PG,-,-,-,-,-,-
Caleb Swanigan,PF,-,-,-,-,-,-
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27.0,30.5,15
Melo Trimble,PG,10.75,2.92,3.27,24.5,32.0,6
Moritz Wagner,PF,12.00,2.98,3.35,25.5,32.5,-
Derrick Walton Jr.,PG,11.28,3.12,3.29,26.0,32.5,9
Thomas Welsh,PF-C,-,-,-,-,-,11
Derrick White,PG,10.84,2.92,3.08,31.0,36.5,10
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,10
D.J. Wilson,PF,-,-,-,-,-,-
Omer Yurtseven,C,12.85,3.30,3.45,26.0,31.5,6
Ron Baker,SG,10.77,2.96,3.45,30.0,35.5,-
Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38.0,-
Cat Barber,PG,-,-,-,-,-,-
Malik Beasley,SG,-,-,-,-,-,-
DeAndre Bembry,SG-SF,10.90,2.87,3.17,32.0,38.0,-
Ben Bentil,PF,11.16,3.10,3.30,29.0,33.0,-
Jaron Blossomgame,SF,11.53,3.26,3.20,35.0,41.0,-
Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,-
Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,-
Jaylen Brown,SG-SF,-,-,-,-,-,-
Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-
Elgin Cook,SF,-,-,-,-,-,-
Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37.0,-
Deyonta Davis,PF,-,-,-,-,-,-
Cheick Diallo,PF,11.24,3.30,3.26,31.0,35.0,-
Kris Dunn,PG,-,-,-,-,-,-
Henry Ellenson,PF,-,-,-,-,-,-
Perry Ellis,PF,10.73,3.03,3.13,32.0,38.0,-
Kay Felder,PG,11.52,2.90,3.15,35.5,44.0,-
Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,-
Michael Gbinije,SG,11.00,3.19,3.12,33.5,37.5,-
Daniel Hamilton,SG-SF,11.48,3.20,3.40,26.0,29.0,-
Josh Hart,SG,11.15,3.15,3.20,29.5,38.5,-
Nigel Hayes,SF-PF,12.11,2.90,3.20,25.5,28.5,-
Buddy Hield,SG,-,-,-,-,-,-
Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,-
Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,-
Brice Johnson,PF,11.88,2.94,3.20,33.5,38.0,-
Damian Jones,C,11.35,3.12,3.20,36.0,37.0,-
Skal Labissiere,PF-C,-,-,-,-,-,-
Jake Layman,SF,11.35,2.82,3.24,33.0,39.5,-
Caris LeVert,SG,-,-,-,-,-,-
Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,-
Thon Maker,PF,11.15,3.09,3.33,32.0,36.5,-
Patrick McCaw,PG-SG,11.01,2.97,3.30,30.0,38.0,-
Malik Newman,SG,10.88,3.11,3.28,30.0,35.5,-
Georges Niang,PF,11.64,3.17,3.49,25.0,31.0,-
Chinanu Onuaku,C,11.65,3.00,3.50,27.5,33.5,-
Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,-
Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,-
Jakob Poeltl,C,-,-,-,-,-,-
Taurean Prince,SF,10.96,2.80,3.24,34.0,36.0,-
Zhou Qi,PF-C,11.27,2.90,3.46,31.5,32.0,-
Malachi Richardson,SG-SF,10.56,3.25,3.33,33.0,38.0,-
Wayne Selden,SG,-,-,-,-,-,-
Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,-
Diamond Stone,C,12.02,3.22,3.50,27.0,29.5,-
Caleb Swanigan,PF,12.80,-,-,26.0,29.0,-
Melo Trimble,PG,10.57,2.77,3.20,26.5,35.5,-
Tyler Ulis,PG,10.80,2.88,3.20,32.5,38.0,-
Jarrod Uthoff,PF,11.52,3.03,3.50,29.0,34.5,-
Denzel Valentine,SG-SF,10.51,3.22,3.46,27.0,32.0,-
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,-
Troy Williams,SF,10.72,3.08,3.35,30.0,36.0,-
Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,-
Stephen Zimmerman,C,12.08,3.16,3.43,26.0,31.0,-
Cliff Alexander,PF-C,-,-,-,-,-,-
Justin Anderson,SF-SG,11.13,2.88,3.22,38.0,43.0,12
Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5,9
Ryan Boatright,PG,10.71,3.05,3.26,32.0,41.0,10
Devin Booker,SG,10.27,2.75,3.28,27.5,34.5,8
Anthony Brown,SF-SG,10.94,3.29,3.18,27.5,34.5,4
Willie Cauley-Stein,C,-,-,-,-,-,-
Rakeem Christmas,PF-C,11.60,3.30,3.47,29.0,32.0,9
Pat Connaughton,SG,10.58,3.08,3.20,37.5,44.0,13
Quinn Cook,PG,11.44,3.41,3.38,24.5,31.0,14
Branden Dawson,PF,12.22,3.53,3.20,28.5,34.5,12
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,5
Michael Frazier II,SG,10.66,3.02,3.32,27.0,35.0,10
Treveon Graham,SF,11.64,3.15,3.30,28.5,31.5,11
Jerian Grant,PG,-,-,-,-,-,-
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28.0,34.0,19
Montrezl Harrell,PF,-,-,-,-,-,-
