Player,Team,Number,Position,Height,Weight,Last Attended,Country
OscarTorres,HOU,18,G-F,198.12,95.25431999999999,Trotamundos,Venezuela
JuanToscano-Anderson,LAL,95,F,198.12,94.80072799999999,Marquette,USA
BillTosheff,INO,9,G,185.42000000000002,79.3786,Indiana,USA
BobTough,DET,20,G,182.88,83.91452,St. John's,USA
AxelToupane,DEN,66,G-F,200.66,95.25431999999999, ,France
MonteTowe,DEN,13,G,170.18,68.0388,North Carolina State,USA
KeithTower,LAC,51,C,210.82,113.398,Notre Dame,USA
WilliamTowery,BAL,,C,193.04,95.25431999999999,Western Kentucky,USA
LintonTownes,POR,2,F,200.66,86.18248,James Madison,USA
Karl-AnthonyTowns,MIN,32,C-F,213.36,112.490816,Kentucky,USA
RaymondTownsend,GSW,11,G,190.5,79.3786,UCLA,USA
GeorgeTrapp,DET,31,F,203.2,92.98636,Long Beach State,USA
JohnTrapp,HOU,31,F,200.66,95.25431999999999,UNLV,USA
RobertTraylor,CLE,32,F-C,203.2,128.820128,Michigan,USA
GaryTrent,MIN,20,F,203.2,113.398,Ohio,USA
GaryTrent Jr.,TOR,33,G-F,195.58,94.80072799999999,Duke,USA
JeffTrepagnier,DEN,4,G,193.04,90.7184,USC,USA
JohnTresvant,WAS,12,F,200.66,97.52228,Seattle,USA
AllonzoTrier,NYK,14,G,195.58,90.7184,Arizona,USA
DickTriptow,DET,28,G,182.88,77.11064,DePaul,USA
KellyTripucka,DET,7,F,198.12,99.79024,Notre Dame,USA
CezaryTrybanski,MEM,14,C,218.44,108.86207999999999,Znicz Pruszkow,Poland
JakeTsakalidis,PHX,25,C,218.44,131.54167999999999,AEK Athens,Greece
JohnTschogl,ATL,26,F,198.12,93.439952,California-Santa Barbara,USA
LouTsioropoulos,BOS,20,F,195.58,86.18248,Kentucky,USA
NikolozTskitishvili,DEN,15,F,213.36,102.0582,Benetton Treviso,Georgia
AlTucker,OKC,35,F,203.2,86.18248,Oklahoma Baptist,USA
AlandoTucker,PHX,29,F,198.12,92.98636,Wisconsin,USA
AnthonyTucker,WAS,21,F,203.2,99.79024,Wake Forest,USA
JimTucker,PHI,17,F,200.66,83.91452,Duquesne,USA
P.J.Tucker,PHI,17,F,195.58,111.13004,Texas,USA
RayjonTucker,MIL,59,G,190.5,94.80072799999999,Arkansas-Little Rock,USA
TrentTucker,NYK,6,G,195.58,87.543256,Minnesota,USA
RonnyTuriaf,LAL,32,C,208.28,109.31567199999999,Gonzaga,France
MirsadTurkcan,MIL,6,F,205.74,97.975872,Efes Pilsen,Turkey
HedoTurkoglu,ORL,15,F,208.28,99.79024,Efes Pilsen,Turkey
AndreTurner,WAS,1,G,180.34,72.57472,Memphis,USA
BillTurner,GSW,34,F,200.66,99.79024,Akron,USA
ElstonTurner,DEN,21,G,195.58,86.18248,Mississippi,USA
EvanTurner,PHI,1,G-F,198.12,99.79024,Ohio State,USA
HenryTurner,SAC,9,G,200.66,90.7184,California State-Fullerton,USA
JackTurner,NYK,16,G,193.04,77.11064,Western Kentucky,USA
JackTurner,WAS,,G,195.58,90.7184,Louisville,USA
